Device,Date,Start Time,End Time
Echo Dot (4th Gen),2023-05-15,15:30,15:33
Withings Body+ (Scales),2023-05-15,15:45,15:47
Withings Connect (Blood Pressure),2023-05-15,15:49,15:50
Netatmo Weather Station,2023-07-05,15:42,15:45
"32"" Smart Monitor M80B UHD",2023-07-05,16:19,16:28
Echo Dot (4th Gen),2023-07-05,16:33,16:36
Samsung Smart Cam,2023-07-11,14:11,14:14
Ring Video Doorbell,2023-07-11,15:54,16:03
TP-Link Tapo Pan/Tilt Wi-Fi Camera,2023-07-12,14:47,14:51
Perfk Motion Sensor,2023-07-12,15:20,15:23
TOPERSUN Smart Plug,2023-07-12,15:19,15:22
Pix-Star Easy Digital Photo Frame,2023-07-13,15:26,15:38
HP Envy,2023-07-18,16:10,16:30
